Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PNNL SC Chip 1 B	Peptides PNNL SC Chip 1 C	Peptides PNNL SC Chip1 A	Razor + unique peptides PNNL SC Chip 1 B	Razor + unique peptides PNNL SC Chip 1 C	Razor + unique peptides PNNL SC Chip1 A	Unique peptides PNNL SC Chip 1 B	Unique peptides PNNL SC Chip 1 C	Unique peptides PNNL SC Chip1 A	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity corrected 1 PNNL SC Chip 1 B	Reporter intensity corrected 2 PNNL SC Chip 1 B	Reporter intensity corrected 3 PNNL SC Chip 1 B	Reporter intensity corrected 4 PNNL SC Chip 1 B	Reporter intensity corrected 5 PNNL SC Chip 1 B	Reporter intensity corrected 6 PNNL SC Chip 1 B	Reporter intensity corrected 7 PNNL SC Chip 1 B	Reporter intensity corrected 8 PNNL SC Chip 1 B	Reporter intensity corrected 9 PNNL SC Chip 1 B	Reporter intensity corrected 10 PNNL SC Chip 1 B	Reporter intensity corrected 1 PNNL SC Chip 1 C	Reporter intensity corrected 2 PNNL SC Chip 1 C	Reporter intensity corrected 3 PNNL SC Chip 1 C	Reporter intensity corrected 4 PNNL SC Chip 1 C	Reporter intensity corrected 5 PNNL SC Chip 1 C	Reporter intensity corrected 6 PNNL SC Chip 1 C	Reporter intensity corrected 7 PNNL SC Chip 1 C	Reporter intensity corrected 8 PNNL SC Chip 1 C	Reporter intensity corrected 9 PNNL SC Chip 1 C	Reporter intensity corrected 10 PNNL SC Chip 1 C	Reporter intensity corrected 1 PNNL SC Chip1 A	Reporter intensity corrected 2 PNNL SC Chip1 A	Reporter intensity corrected 3 PNNL SC Chip1 A	Reporter intensity corrected 4 PNNL SC Chip1 A	Reporter intensity corrected 5 PNNL SC Chip1 A	Reporter intensity corrected 6 PNNL SC Chip1 A	Reporter intensity corrected 7 PNNL SC Chip1 A	Reporter intensity corrected 8 PNNL SC Chip1 A	Reporter intensity corrected 9 PNNL SC Chip1 A	Reporter intensity corrected 10 PNNL SC Chip1 A	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B	Reporter intensity 1 PNNL SC Chip 1 C	Reporter intensity 2 PNNL SC Chip 1 C	Reporter intensity 3 PNNL SC Chip 1 C	Reporter intensity 4 PNNL SC Chip 1 C	Reporter intensity 5 PNNL SC Chip 1 C	Reporter intensity 6 PNNL SC Chip 1 C	Reporter intensity 7 PNNL SC Chip 1 C	Reporter intensity 8 PNNL SC Chip 1 C	Reporter intensity 9 PNNL SC Chip 1 C	Reporter intensity 10 PNNL SC Chip 1 C	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A	Reporter intensity count 1 PNNL SC Chip 1 B	Reporter intensity count 2 PNNL SC Chip 1 B	Reporter intensity count 3 PNNL SC Chip 1 B	Reporter intensity count 4 PNNL SC Chip 1 B	Reporter intensity count 5 PNNL SC Chip 1 B	Reporter intensity count 6 PNNL SC Chip 1 B	Reporter intensity count 7 PNNL SC Chip 1 B	Reporter intensity count 8 PNNL SC Chip 1 B	Reporter intensity count 9 PNNL SC Chip 1 B	Reporter intensity count 10 PNNL SC Chip 1 B	Reporter intensity count 1 PNNL SC Chip 1 C	Reporter intensity count 2 PNNL SC Chip 1 C	Reporter intensity count 3 PNNL SC Chip 1 C	Reporter intensity count 4 PNNL SC Chip 1 C	Reporter intensity count 5 PNNL SC Chip 1 C	Reporter intensity count 6 PNNL SC Chip 1 C	Reporter intensity count 7 PNNL SC Chip 1 C	Reporter intensity count 8 PNNL SC Chip 1 C	Reporter intensity count 9 PNNL SC Chip 1 C	Reporter intensity count 10 PNNL SC Chip 1 C	Reporter intensity count 1 PNNL SC Chip1 A	Reporter intensity count 2 PNNL SC Chip1 A	Reporter intensity count 3 PNNL SC Chip1 A	Reporter intensity count 4 PNNL SC Chip1 A	Reporter intensity count 5 PNNL SC Chip1 A	Reporter intensity count 6 PNNL SC Chip1 A	Reporter intensity count 7 PNNL SC Chip1 A	Reporter intensity count 8 PNNL SC Chip1 A	Reporter intensity count 9 PNNL SC Chip1 A	Reporter intensity count 10 PNNL SC Chip1 A	Sequence coverage PNNL SC Chip 1 B [%]	Sequence coverage PNNL SC Chip 1 C [%]	Sequence coverage PNNL SC Chip1 A [%]	Intensity	Intensity PNNL SC Chip 1 B	Intensity PNNL SC Chip 1 C	Intensity PNNL SC Chip1 A	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P30041	P30041	3	3	3	Peroxiredoxin-6	PRDX6	sp|P30041|PRDX6_HUMAN Peroxiredoxin-6	1	3	3	3	3	1	1	3	1	1	3	1	1	17.9	17.9	17.9	25.035	224	224	0	22.931	1948.1	2586	2234.3	1330.1	2622.9	3564.9	2431.2	4385.5	0	153170	1948.1	2586	2234.3	1330.1	2622.9	3564.9	2431.2	4385.5	0	153170	3	4	4	3	4	5	4	4	0	5	1424.3	851.91	1670.2	946.8	2038.1	1742.6	1441.4	2077	0	75644	523.85	1265.7	564.13	383.34	584.77	1119.3	373.26	1072	0	31080	0	468.38	0	0	0	703.03	616.49	1236.5	0	46448	1424.3	851.91	1670.2	946.8	2038.1	1742.6	1441.4	2077	0	75644	523.85	1265.7	564.13	383.34	584.77	1119.3	373.26	1072	0	31080	0	468.38	0	0	0	703.03	616.49	1236.5	0	46448	2	2	3	2	3	3	2	2	0	3	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	0	1	17.9	4.9	5.4	5842900	3038700	1042500	1761800	5				404	632;1381;2894	True;True;True	639;1396;2917	1472;1473;3254;6729;6730	1541;1542;3370;6938;6939	1541;3370;6938		
P30044	P30044	3	3	3	"Peroxiredoxin-5, mitochondrial"	PRDX5	"sp|P30044|PRDX5_HUMAN Peroxiredoxin-5,"	1	3	3	3	3	2	3	3	2	3	3	2	3	16.4	16.4	16.4	22.086	214	214	0	25.864	14641	11973	9439.1	9690.8	16278	13061	16921	29990	0	1224700	14641	11973	9439.1	9690.8	16278	13061	16921	29990	0	1224700	8	8	7	7	8	8	8	8	0	8	6014	2323.8	4039.8	4973	5898.8	3536	6701	10908	0	458970	3180.1	4282.1	3165.4	3094.4	4792.9	3395.6	3886.3	9528.1	0	359710	5446.7	5366.9	2234	1623.4	5586.2	6129.3	6333.2	9554.2	0	406000	6014	2323.8	4039.8	4973	5898.8	3536	6701	10908	0	458970	3180.1	4282.1	3165.4	3094.4	4792.9	3395.6	3886.3	9528.1	0	359710	5446.7	5366.9	2234	1623.4	5586.2	6129.3	6333.2	9554.2	0	406000	3	3	3	3	3	3	3	3	0	3	2	2	2	2	2	2	2	2	0	2	3	3	2	2	3	3	3	3	0	3	16.4	11.2	16.4	46950000	17383000	14846000	14721000	8				405	1903;2725;4621	True;True;True	1919;2746;4662	4452;4453;4454;6320;6321;10792;10793;10794	4596;4597;4598;6515;6516;11162;11163;11164	4598;6516;11162		
P30048	P30048	3	3	3	"Thioredoxin-dependent peroxide reductase, mitochondrial"	PRDX3	sp|P30048|PRDX3_HUMAN Thioredoxin-dependent	1	3	3	3	2	1	3	2	1	3	2	1	3	10.9	10.9	10.9	27.692	256	256	0	19.594	7555.3	5074.2	6850.2	8778.3	9014.6	7763.2	6214.5	9088.2	0	374570	7555.3	5074.2	6850.2	8778.3	9014.6	7763.2	6214.5	9088.2	0	374570	6	5	5	6	6	6	6	6	0	6	2508.2	421.53	2884.5	4735.6	3461	2757.1	1819.8	2486.7	0	120040	1853.1	1616.6	1731	1235.3	1803.3	2009.3	900.59	1361.7	0	38579	3193.9	3036.1	2234.6	2807.4	3750.2	2996.9	3494.1	5239.7	0	215950	2508.2	421.53	2884.5	4735.6	3461	2757.1	1819.8	2486.7	0	120040	1853.1	1616.6	1731	1235.3	1803.3	2009.3	900.59	1361.7	0	38579	3193.9	3036.1	2234.6	2807.4	3750.2	2996.9	3494.1	5239.7	0	215950	2	1	2	2	2	2	2	2	0	2	1	1	1	1	1	1	1	1	0	1	3	3	2	3	3	3	3	3	0	3	7	2.7	10.9	12076000	3935300	1724700	6415700	6				406	1868;2011;3961	True;True;True	1885;2027;3995	4371;4709;4710;9173;9174;9175	4515;4860;4861;9463;9464;9465	4515;4861;9464		
P30049	P30049	1	1	1	"ATP synthase subunit delta, mitochondrial"	ATP5D	sp|P30049|ATPD_HUMAN ATP	1	1	1	1	1	1	1	1	1	1	1	1	1	5.4	5.4	5.4	17.49	168	168	0.001139	7.4577	4612.9	2783.8	2248.7	2991.9	3832.1	3598.1	6657.1	13120	0	520640	4612.9	2783.8	2248.7	2991.9	3832.1	3598.1	6657.1	13120	0	520640	3	2	3	3	3	3	3	3	0	3	2079.8	0	872.73	1469.1	2043.8	1661.8	2521	5518.6	0	213310	873.96	1643.3	694.92	959.29	806.5	1182.1	2302.4	4344.5	0	178820	1659.1	1140.6	681.05	563.56	981.76	754.18	1833.7	3257.1	0	128510	2079.8	0	872.73	1469.1	2043.8	1661.8	2521	5518.6	0	213310	873.96	1643.3	694.92	959.29	806.5	1182.1	2302.4	4344.5	0	178820	1659.1	1140.6	681.05	563.56	981.76	754.18	1833.7	3257.1	0	128510	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	5.4	5.4	5.4	16203000	6336000	5674400	4192300	3				407	2136	TRUE	2154	4985;4986;4987	5139;5140;5141	5140		
P30050	P30050	7	7	7	60S ribosomal protein L12	RPL12	sp|P30050|RL12_HUMAN 60S	1	7	7	7	7	5	7	7	5	7	7	5	7	58.8	58.8	58.8	17.818	165	165	0	100.98	44928	43587	42671	47120	43882	37346	35986	51340	1167.8	1677800	44928	43587	42671	47120	43882	37346	35986	51340	1167.8	1677800	20	20	20	20	21	22	22	27	3	27	22827	12283	20893	24286	19112	14027	13999	21015	356.78	690810	5753.9	10369	6252.1	6345.2	5751.2	7998.7	4720.7	11192	0	316140	16347	20935	15526	16489	19019	15320	17266	19133	811.02	670870	22827	12283	20893	24286	19112	14027	13999	21015	356.78	690810	5753.9	10369	6252.1	6345.2	5751.2	7998.7	4720.7	11192	0	316140	16347	20935	15526	16489	19019	15320	17266	19133	811.02	670870	9	6	8	8	9	8	7	10	1	10	4	6	5	5	5	6	6	7	0	7	7	8	7	7	7	8	9	10	2	10	58.8	44.8	58.8	158160000	70787000	30873000	56501000	27				408	537;1073;1137;2030;2043;2194;3337	True;True;True;True;True;True;True	543;1087;1152;2046;2060;2212;3367	1244;1245;1246;1247;1248;1249;2543;2544;2545;2546;2547;2548;2716;2717;4748;4749;4750;4775;4776;4777;5122;5123;5124;5125;5126;7786;7787	1306;1307;1308;1309;1310;1311;2642;2643;2644;2645;2646;2647;2816;2817;4899;4900;4901;4927;4928;4929;5278;5279;5280;5281;5282;8026;8027	1308;2647;2816;4901;4928;5279;8027		
P30084	P30084	2	2	2	"Enoyl-CoA hydratase, mitochondrial"	ECHS1	sp|P30084|ECHM_HUMAN Enoyl-CoA	1	2	2	2	0	1	1	0	1	1	0	1	1	6.9	6.9	6.9	31.387	290	290	0	12.907	1768.7	2872.5	822.86	1701.3	1880.2	1670	3123.4	5790	0	178660	1768.7	2872.5	822.86	1701.3	1880.2	1670	3123.4	5790	0	178660	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	474.52	1337.1	496.22	691.07	831.9	680.76	1062.3	1241.7	0	38696	1294.2	1535.4	326.64	1010.2	1048.3	989.27	2061.1	4548.3	0	139960	0	0	0	0	0	0	0	0	0	0	474.52	1337.1	496.22	691.07	831.9	680.76	1062.3	1241.7	0	38696	1294.2	1535.4	326.64	1010.2	1048.3	989.27	2061.1	4548.3	0	139960	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	3.8	3.1	3486600	0	1316300	2170300	2				409	121;2632	True;True	122;2652	284;6110	290;6292	290;6292		
P30085	P30085	2	2	2	UMP-CMP kinase	CMPK1	sp|P30085|KCY_HUMAN UMP-CMP	1	2	2	2	1	1	1	1	1	1	1	1	1	12.8	12.8	12.8	22.222	196	196	0	12.472	369.7	1163.6	559.8	1185.7	19616	1872.4	1069.7	2932.4	0	78417	369.7	1163.6	559.8	1185.7	19616	1872.4	1069.7	2932.4	0	78417	1	1	1	1	2	1	2	3	0	3	0	0	0	0	0	0	0	700.86	0	20931	0	0	0	0	345.27	0	301.78	635.5	0	20792	369.7	1163.6	559.8	1185.7	19270	1872.4	767.91	1596.1	0	36694	0	0	0	0	0	0	0	700.86	0	20931	0	0	0	0	345.27	0	301.78	635.5	0	20792	369.7	1163.6	559.8	1185.7	19270	1872.4	767.91	1596.1	0	36694	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	6.1	6.1	6.6	2687500	602040	482180	1603300	3				410	3211;4905	True;True	3239;4949	7485;7486;11456	7717;7718;11836	7718;11836		
P30086	P30086	1	1	1	Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide	PEBP1	sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding	1	1	1	1	0	0	1	0	0	1	0	0	1	4.3	4.3	4.3	21.057	187	187	0.0030181	6.2735	3526.9	4245.8	1821.6	1365.6	2518.3	2452.7	2240.6	3165.1	320.27	131590	3526.9	4245.8	1821.6	1365.6	2518.3	2452.7	2240.6	3165.1	320.27	131590	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3526.9	4245.8	1821.6	1365.6	2518.3	2452.7	2240.6	3165.1	320.27	131590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3526.9	4245.8	1821.6	1365.6	2518.3	2452.7	2240.6	3165.1	320.27	131590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	4.3	2755400	0	0	2755400	1				411	3013	TRUE	3037	7020	7231	7231		
P30101	P30101	14	14	14	Protein disulfide-isomerase A3	PDIA3	sp|P30101|PDIA3_HUMAN Protein	1	14	14	14	10	11	12	10	11	12	10	11	12	24.4	24.4	24.4	56.782	505	505	0	124.29	72837	59424	82017	70739	77431	75685	98891	149080	3486.5	5263600	72837	59424	82017	70739	77431	75685	98891	149080	3486.5	5263600	37	37	38	36	38	39	39	39	8	39	36216	19942	35973	36556	36511	33508	43023	67249	2063.2	2404900	19932	25775	34801	25827	25623	29231	38544	49670	1154.2	1856100	16689	13707	11243	8356	15297	12947	17324	32164	269.08	1002500	36216	19942	35973	36556	36511	33508	43023	67249	2063.2	2404900	19932	25775	34801	25827	25623	29231	38544	49670	1154.2	1856100	16689	13707	11243	8356	15297	12947	17324	32164	269.08	1002500	12	10	12	12	12	12	12	12	5	12	13	14	14	13	13	14	14	14	2	14	12	13	12	11	13	13	13	13	1	13	19	19	21.8	395520000	152100000	119220000	124210000	40				412	638;786;1408;1512;1661;1739;1856;2530;2806;3333;3590;3995;4390;4904	True;True;True;True;True;True;True;True;True;True;True;True;True;True	645;795;1423;1529;1678;1756;1873;2549;2827;3363;3621;4029;4430;4948	1482;1483;1484;1832;1833;1834;3304;3305;3306;3537;3885;3886;3887;3888;3889;3890;4049;4349;5865;5866;5867;6522;6523;6524;7778;7779;8342;8343;9270;9271;9272;10255;10256;11451;11452;11453;11454;11455	1551;1552;1553;1908;1909;1910;3420;3421;3422;3658;4017;4018;4019;4020;4021;4022;4186;4491;6040;6041;6042;6723;6724;6725;8017;8018;8019;8602;8603;9563;9564;9565;9566;10597;10598;11831;11832;11833;11834;11835	1552;1910;3422;3658;4020;4186;4491;6041;6725;8019;8602;9565;10598;11832		
P30153;P30154	P30153	5;2	5;2	5;2	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	PPP2R1A	sp|P30153|2AAA_HUMAN Serine/threonine-protein	2	5	5	5	3	3	2	3	3	2	3	3	2	9.2	9.2	9.2	65.308	589	589;601	0	33.786	7435.1	9391.6	8236.1	8664	10385	8606.4	6814.3	13846	0	442660	7435.1	9391.6	8236.1	8664	10385	8606.4	6814.3	13846	0	442660	7	6	8	7	7	8	8	8	0	8	2622.4	1711.1	3717.6	4006.2	5066.3	2333.1	2537.8	5698.5	0	171640	2248.6	4017.2	3079	2991.1	2808.3	3326.3	2568.5	3967.7	0	143790	2564.1	3663.2	1439.5	1666.7	2510.7	2947.1	1707.9	4179.7	0	127230	2622.4	1711.1	3717.6	4006.2	5066.3	2333.1	2537.8	5698.5	0	171640	2248.6	4017.2	3079	2991.1	2808.3	3326.3	2568.5	3967.7	0	143790	2564.1	3663.2	1439.5	1666.7	2510.7	2947.1	1707.9	4179.7	0	127230	3	2	3	3	3	3	3	3	0	3	2	2	3	2	2	3	3	3	0	3	2	2	2	2	2	2	2	2	0	2	4.9	5.6	3.1	9374600	3995000	3254800	2124800	8				413	1145;1270;2916;4246;4564	True;True;True;True;True	1160;1285;2940;4283;4604	2733;2987;2988;6771;9866;10659;10660;10661	2834;3097;3098;6980;10183;11023;11024;11025	2834;3098;6980;10183;11025		
P30419	P30419	2	2	2	Glycylpeptide N-tetradecanoyltransferase 1	NMT1	sp|P30419|NMT1_HUMAN Glycylpeptide	1	2	2	2	1	2	1	1	2	1	1	2	1	5.6	5.6	5.6	56.806	496	496	0	14.501	2003.5	1383.9	2296.5	1880.4	4440.6	3395.8	2560.6	8171	0	194990	2003.5	1383.9	2296.5	1880.4	4440.6	3395.8	2560.6	8171	0	194990	5	2	5	5	6	6	5	6	0	6	916.25	0	1236.5	410.02	1477.6	1043.6	1035.7	2848.1	0	66793	550.82	743.58	354.89	712.61	1041.7	1154	1080.1	2483.4	0	60998	536.43	640.28	705.15	757.76	1921.3	1198.2	444.73	2839.5	0	67198	916.25	0	1236.5	410.02	1477.6	1043.6	1035.7	2848.1	0	66793	550.82	743.58	354.89	712.61	1041.7	1154	1080.1	2483.4	0	60998	536.43	640.28	705.15	757.76	1921.3	1198.2	444.73	2839.5	0	67198	2	0	2	1	2	2	2	2	0	2	2	1	1	2	2	2	2	2	0	2	1	1	2	2	2	2	1	2	0	2	3	5.6	3	2366200	896640	720640	748970	7				414	186;2643	True;True	188;2663	438;6138;6139;6140	452;6321;6322;6323;6324;6325;6326	452;6324		
P30519	P30519	1	1	1	Heme oxygenase 2	HMOX2	sp|P30519|HMOX2_HUMAN Heme	1	1	1	1	1	1	0	1	1	0	1	1	0	2.5	2.5	2.5	36.032	316	316	0.008427	5.9422	803.5	0	474.06	862.91	945.9	549.81	707.94	1297.4	0	49172	803.5	0	474.06	862.91	945.9	549.81	707.94	1297.4	0	49172	1	0	1	1	1	1	1	1	0	1	803.5	0	474.06	862.91	945.9	549.81	707.94	1297.4	0	49172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803.5	0	474.06	862.91	945.9	549.81	707.94	1297.4	0	49172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	2.5	0	1011700	1011700	0	0	2				415	111	TRUE	112	262;263	268;269	269		
P30520	P30520	1	1	1	Adenylosuccinate synthetase isozyme 2	ADSS	sp|P30520|PURA2_HUMAN Adenylosuccinate	1	1	1	1	0	1	0	0	1	0	0	1	0	2.9	2.9	2.9	50.097	456	456	0.0067114	6.0473	0	788.59	283.07	381	419.11	1294.2	547.81	790.99	0	26348	0	788.59	283.07	381	419.11	1294.2	547.81	790.99	0	26348	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	788.59	283.07	381	419.11	1294.2	547.81	790.99	0	26348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788.59	283.07	381	419.11	1294.2	547.81	790.99	0	26348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2.9	0	610870	0	610870	0	1				416	4181	TRUE	4218	9711	10023	10023		
P30626	P30626	3	3	3	Sorcin	SRI	sp|P30626|SORCN_HUMAN Sorcin	1	3	3	3	1	2	2	1	2	2	1	2	2	15.2	15.2	15.2	21.676	198	198	0	20.479	2282.4	3055.5	1409.6	1227.8	2092.5	2572.5	3434.7	5386.5	0	214320	2282.4	3055.5	1409.6	1227.8	2092.5	2572.5	3434.7	5386.5	0	214320	3	2	2	2	3	3	4	5	0	5	329.7	0	0	0	0	0	704.74	556.52	0	24922	258.57	0	400.79	0	759.37	695.38	1109.1	1434.8	0	36277	1694.2	3055.5	1008.8	1227.8	1333.2	1877.1	1620.8	3395.1	0	153130	329.7	0	0	0	0	0	704.74	556.52	0	24922	258.57	0	400.79	0	759.37	695.38	1109.1	1434.8	0	36277	1694.2	3055.5	1008.8	1227.8	1333.2	1877.1	1620.8	3395.1	0	153130	1	0	0	0	0	0	1	1	0	1	1	0	1	0	2	1	2	2	0	2	1	2	1	2	1	2	1	2	0	2	6.1	11.6	9.1	5449600	419590	1152800	3877200	5				417	274;516;3779	True;True;True	275;522;3812	648;1203;1204;8726;8727	666;1262;1263;9000;9001	666;1262;9000		
P31040	P31040	6	6	6	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	SDHA	sp|P31040|SDHA_HUMAN Succinate	1	6	6	6	5	3	2	5	3	2	5	3	2	9.3	9.3	9.3	72.691	664	664	0	41.966	7660.2	6988	10669	11220	13135	8249	11184	24618	0	787160	7660.2	6988	10669	11220	13135	8249	11184	24618	0	787160	8	8	9	9	8	6	7	10	0	10	4639	2087.8	6463.9	5154.3	7621.3	4832.5	5964.9	12301	0	385170	1352.4	2898.8	3007.4	4303	2946.4	2345.9	2281.1	6348.7	0	172500	1668.9	2001.4	1197.5	1762.4	2566.9	1070.6	2937.7	5968.5	0	229490	4639	2087.8	6463.9	5154.3	7621.3	4832.5	5964.9	12301	0	385170	1352.4	2898.8	3007.4	4303	2946.4	2345.9	2281.1	6348.7	0	172500	1668.9	2001.4	1197.5	1762.4	2566.9	1070.6	2937.7	5968.5	0	229490	4	3	4	4	4	2	3	5	0	5	2	3	3	3	2	3	2	3	0	3	2	2	2	2	2	1	2	2	0	2	7.7	4.8	2.4	16914000	7676700	4964600	4273000	10				418	128;1295;1619;4177;4708;4792	True;True;True;True;True;True	129;1310;1636;4213;4750;4835	295;296;3055;3790;3791;9702;10986;11183;11184;11185	301;302;3166;3917;3918;10014;11360;11558;11559;11560	301;3166;3918;10014;11360;11558		
P31146	P31146	5	5	5	Coronin-1A	CORO1A	sp|P31146|COR1A_HUMAN Coronin-1A	1	5	5	5	3	2	5	3	2	5	3	2	5	10.8	10.8	10.8	51.026	461	461	0	36.79	12574	24428	17419	42884	24635	15075	16007	29140	1265.3	799440	12574	24428	17419	42884	24635	15075	16007	29140	1265.3	799440	10	10	9	10	10	10	10	10	3	10	3253.4	8238	6805.6	18067	7090.8	4228.4	4084.2	8524.6	309.17	238980	1822.4	4493	2872.8	7853.6	4712.7	2890.4	2707.8	5438	421.18	145690	7498.3	11697	7740.5	16963	12832	7956.3	9215.3	15177	534.99	414770	3253.4	8238	6805.6	18067	7090.8	4228.4	4084.2	8524.6	309.17	238980	1822.4	4493	2872.8	7853.6	4712.7	2890.4	2707.8	5438	421.18	145690	7498.3	11697	7740.5	16963	12832	7956.3	9215.3	15177	534.99	414770	3	3	3	3	3	3	3	3	1	3	2	2	2	2	2	2	2	2	1	2	5	5	4	5	5	5	5	5	1	5	7.2	5.2	10.8	23741000	7410300	4427500	11904000	10				419	72;560;2060;3574;4686	True;True;True;True;True	72;566;2077;3605;4728	178;179;1308;4811;4812;4813;8313;10936;10937;10938	181;182;1371;4963;4964;4965;8573;11309;11310;11311	181;1371;4963;8573;11309		
P31153	P31153	1	1	1	S-adenosylmethionine synthase isoform type-2	MAT2A	sp|P31153|METK2_HUMAN S-adenosylmethionine	1	1	1	1	1	1	1	1	1	1	1	1	1	3.8	3.8	3.8	43.66	395	395	0.001199	8.732	703.52	1388	948.85	463.76	1320.5	1258.5	379.31	1757.8	0	59016	703.52	1388	948.85	463.76	1320.5	1258.5	379.31	1757.8	0	59016	2	2	2	1	3	3	1	3	0	3	0	0	555.77	463.76	335.41	352.91	0	390.13	0	15529	362.62	558.88	393.08	0	645.27	372.55	0	922.55	0	25029	340.89	829.14	0	0	339.78	533.06	379.31	445.16	0	18458	0	0	555.77	463.76	335.41	352.91	0	390.13	0	15529	362.62	558.88	393.08	0	645.27	372.55	0	922.55	0	25029	340.89	829.14	0	0	339.78	533.06	379.31	445.16	0	18458	0	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	3.8	3.8	3.8	2229200	743640	748610	736990	3				420	4938	TRUE	4983	11550;11551;11552	11935;11936;11937	11935		
